Animal ID,Name,Species,Primary Breed,Secondary Breed,Primary Color,Secondary Color,Age Group At Outcome,Previous Intake Type,Source Shelter,Outcome Subtype,Episode Index,Previous Intake Date,Outcome Date,LOS (days),Adoption Channel (derived)
LDDC-A-2577,Dittmar,Dog,Shepherd,Mix,Brown,—,Puppy,Transfer In,"23240-4, FLRN-A-5739, FLRN-MD-23-2485",Petco Adoption Event,1,2023-12-16,2024-01-06,21,Weekend Event
LDDC-A-2702,Ginger,Dog,Boxer,Shepherd,Black,White,Puppy,Transfer In,"64751-2, FLRN-FD-23-2677, FLRN-A-5586",Petco Adoption Event,1,2023-12-30,2024-01-06,7,Weekend Event
LDDC-A-1864,Sherlock,Dog,Beagle,—,Tan,White,Adult Dog,Transfer In,FLRN-MD-19-0214,Petco Adoption Event,1,2019-02-15,2024-01-06,1786,Weekend Event
LDDC-A-2603,Queen Liz,Dog,Shepherd,Mix,Brown,White,Adult Dog,Transfer In,"64694, FLRN-FD-23-2632, FLRN-A-5595",Petco Adoption Event,1,2023-12-16,2024-01-06,21,Weekend Event
LDDC-A-2630,Moca,Dog,Shepherd,—,Fawn,White,Puppy,Transfer In,PRCO-FD-23-2670,Petco Adoption Event,1,2023-12-27,2024-01-06,10,Weekend Event
LDDC-A-2150,Trinity,Dog,"Cattle Dog, Australian (Blue Heeler)",Mix,Blue,White,Adult Dog,Transfer In,"93898, FLRN-FD-23-2426, FLRN-A-5090",Petco Adoption Event,1,2023-11-18,2024-01-06,49,Weekend Event
LDDC-A-2739,Groovy Blues,Cat,Domestic Shorthair,—,Black,—,Kitten,Transfer In,"PPCA-A-8905, FRKN-MC-24-0006",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-2740,Groovy Country,Cat,Domestic Shorthair,—,Black,Silver,Kitten,Transfer In,"PPCA-A-8908, FRKN-MC-24-0007",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-1873,Gidget,Dog,"Retriever, Labrador",—,Black,White,Adult Dog,Transfer In,FLRN-FD-23-0923,PetSmart Adoption Event,1,2023-05-12,2024-01-07,240,Weekend Event
LDDC-A-2634,Lil Rocko,Cat,Domestic Medium Hair,—,Grey,White,Kitten,Transfer In,PPCA-A-8897,PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-2745,Bok Choy,Cat,Domestic Shorthair,—,Brown,—,Kitten,Transfer In,"PPCA-A-8637, FRKN-FC-24-0003",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-2746,Bell Pepper,Cat,Domestic Shorthair,—,Grey,—,Kitten,Transfer In,"PPCA-A-8639, FRKN-MC-24-0002",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-2695,Barney,Dog,Retriever,Mix,Brown,White,Adult Dog,Transfer In,"64741, FLRN-MD-23-0689, FLRN-A-5652",PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-2729,Yummy Kashi,Cat,Domestic Shorthair,—,Tortoise,—,Kitten,Transfer In,"PPCA-A-8839, FRKN-FC-24-0016",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-2693,Diamond,Cat,Domestic Shorthair,—,Orange,—,Adult Cat,Transfer In,"23213, FLRN-FC-23-2701, FLRN-A-5495",PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-2731,Sweet EBuddy,Cat,Domestic Shorthair,—,White,—,Kitten,Transfer In,"PPCA-A-8587, FRKN-MC-24-0011",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-2687,Haze,Cat,Domestic Shorthair,—,Brown,—,Adult Cat,Transfer In,"64831, FLRN-MC-23-2704, FLRN-A-5668",PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-2742,Groovy Rhythm,Cat,Domestic Shorthair,—,Black,—,Kitten,Transfer In,"PPCA-A-8904, FRKN-MC-24-0009",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-2741,Groovy Pop,Cat,Domestic Shorthair,—,Black,Brown,Kitten,Transfer In,"PPCA-A-8907, FRKN-FC-24-0008",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-2748,Nemo,Dog,Shepherd,—,Black,White,Puppy,Transfer In,PRCO-MD-24-0019,PetSmart Adoption Event,1,2024-01-05,2024-01-07,2,Weekend Event
LDDC-A-1933,Coffee Nitro,Cat,Domestic Shorthair,—,Black,—,Kitten,Transfer In,"PPCA-A-8275, FRKN-MC-23-1888",PetSmart Adoption Event,1,2023-09-02,2024-01-07,127,Weekend Event
LDDC-A-2733,Sweet Truly,Cat,Domestic Shorthair,—,White,—,Kitten,Transfer In,"PPCA-A-8585, FRKN-FC-24-0013",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-2728,Yummy Udis,Cat,Siamese,—,Cream,—,Kitten,Transfer In,"PPCA-A-8840, FRKN-FC-24-0015",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-2001,Raya,Cat,Domestic Shorthair,—,Black,White,Adult Cat,Transfer In,"66-2023, FLRN-FC-23-2244, FLRN-A-5233",PetSmart Adoption Event,1,2023-10-21,2024-01-07,78,Weekend Event
LDDC-A-2738,Mr. Royal Palm,Cat,Domestic Shorthair,—,Brown,—,Kitten,Transfer In,"PPCA-A-8788, FRKN-MC-24-0023",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-2736,Mr. Narrogansett,Cat,Domestic Shorthair,—,Brown,—,Kitten,Transfer In,"PPCA-A-8789, FRKN-MC-24-0021",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-2727,Yummy Glutino,Cat,Domestic Shorthair,—,Tortoise,—,Kitten,Transfer In,"PPCA-A-8841, FRKN-FC-24-0014",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-2676,Lexi,Dog,Terrier,Mix,Black,—,Puppy,Transfer In,"64820-4, FLRN-FD-23-2682, FLRN-A-5643",PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-2726,Lunchable,Dog,"Hound, Basset",—,Black,White,Adult Dog,Transfer In,"PPCA-A-8952, FRKN-MD-24-0018",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-2730,Yummy Emmy's,Cat,Domestic Shorthair,—,Grey,—,Kitten,Transfer In,"PPCA-A-8838, FRKN-FC-24-0017",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-2691,Tess,Cat,Domestic Shorthair,—,Grey,Tortoise,Kitten,Transfer In,"64444-1, FLRN-FC-23-2712, FLRN-A-5449",PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-2637,Broccoli,Cat,Domestic Shorthair,—,Grey,—,Kitten,Transfer In,PPCA-A-8640,PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-1879,Scoobert,Dog,"Pinscher, Doberman","Ridgeback, Rhodesian",Brown,Black,Adult Dog,Transfer In,PVAS-MD-23-1793,PetSmart Adoption Event,1,2023-08-19,2024-01-07,141,Weekend Event
LDDC-A-2749,Sol,Cat,Domestic Shorthair,—,Orange,White,Kitten,Transfer In,PRCO-MC-24-0001,PetSmart Adoption Event,1,2024-01-05,2024-01-07,2,Weekend Event
LDDC-A-2662,Roger,Cat,Domestic Shorthair,—,Grey,—,Adult Cat,Transfer In,"23243, FLRN-MC-23-2708, FLRN-A-5763",PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-2735,Mr. Beltsville,Cat,Domestic Shorthair,—,Brown,—,Kitten,Transfer In,"PPCA-A-8790, FRKN-MC-24-0020",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-2737,Ms. Norfolk,Cat,Domestic Shorthair,—,Black,—,Kitten,Transfer In,"PPCA-A-8787, FRKN-FC-24-0022",PetSmart Adoption Event,1,2024-01-06,2024-01-07,1,Weekend Event
LDDC-A-8493,Healy,Dog,"Retriever, Labrador",—,Brown,White,Adult Dog,Transfer In,"FLRN-MD-23-2496, LDDC-A-1897, LDDC-A-1897, FLRN-A-8493",PetSmart Adoption Event,1,2023-12-01,2024-01-07,37,Weekend Event
LDDC-A-2722,Mac,Dog,"Retriever, Labrador",Terrier,Chocolate,White,Adult Dog,Transfer In,"63983, FLRN-MD-23-2723, FLRN-A-5231",Adoption from Foster,1,2023-12-30,2024-01-07,8,From Foster
LDDC-A-2696,Carol,Dog,Shepherd,Mix,Tan,White,Adult Dog,Transfer In,"64682-2, FLRN-FD-23-2176, FLRN-A-5591",PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-1997,Ty,Cat,Domestic Shorthair,—,Brown,White,Adult Cat,Transfer In,"A2115990, PFL-A-2891, HST-A-13740, HSTO-MC-23-2608",PetSmart In-Store Cat Adoption,1,2023-12-15,2024-01-07,23,PetSmart
LDDC-A-1912,Zen,Dog,Shepherd,—,White,Tan,Puppy,Transfer In,PRCO-MD-23-2552,PetSmart Adoption Event,1,2023-12-02,2024-01-07,36,Weekend Event
LDDC-A-2717,Mozart,Dog,Shepherd,Mix,Brown,Chocolate,Adult Dog,Transfer In,"63629-2, FLRN-MD-23-2689, FLRN-A-5078",PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-2683,Stripe,Dog,Shepherd,Mix,Tan,White,Puppy,Transfer In,"23238-1, FLRN-FD-23-2695, FLRN-A-5658",PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-2711,Arnold,Dog,"Retriever, Labrador",Mix,Yellow,—,Adult Dog,Transfer In,"64283, FLRN-MD-23-0652, FLRN-A-5392",PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-1920,Angelicat,Cat,Domestic Shorthair,—,Black,White,Adult Cat,Transfer In,"PPCA-A-7633, FRKN-FC-23-2357",PetSmart Adoption Event,1,2023-11-04,2024-01-07,64,Weekend Event
LDDC-A-2719,Emerson,Dog,Retriever,Mix,Brown,—,Adult Dog,Transfer In,"63980, FLRN-MD-23-0901, FLRN-A-5212",PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-1907,Tonka,Cat,Domestic Shorthair,—,Grey,—,Adult Cat,Transfer In,WISE-MC-23-2542,PetSmart Adoption Event,1,2023-12-01,2024-01-07,37,Weekend Event
LDDC-A-1908,Tundra,Cat,Domestic Shorthair,—,Brown,—,Adult Cat,Transfer In,WISE-MC-23-2543,PetSmart Adoption Event,1,2023-12-01,2024-01-07,37,Weekend Event
LDDC-A-2612,Shelly,Cat,Domestic Shorthair,—,Brown,White,Kitten,Adoption Return,"64592, FLRN-FC-23-2654, FLRN-A-5621",PetSmart Adoption Event,1,2024-01-07,2024-01-07,0,Weekend Event
LDDC-A-2723,Shade,Dog,"Cattle Dog, Australian (Red Heeler)",Pointer,White,Red/Mahogany,Adult Dog,Transfer In,"64109-1, FLRN-FD-23-2739, FLRN-A-5225",PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-2689,Louie,Cat,Domestic Shorthair,—,White,Black,Adult Cat,Transfer In,"23224, FLRN-MC-23-2737, FLRN-A-5550",PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-2715,Ariel,Dog,Shepherd,Mix,Brindle,—,Adult Dog,Transfer In,"64543-2, FLRN-FD-23-2672, FLRN-A-5441",PetSmart Adoption Event,1,2023-12-30,2024-01-07,8,Weekend Event
LDDC-A-2590,Baby Girl,Dog,"Retriever, Labrador",Hound,Black,White,Adult Dog,Transfer In,"64281-2, FLRN-FD-23-2624, FLRN-A-5443",PetSmart Adoption Event,1,2023-12-16,2024-01-07,22,Weekend Event
LDDC-A-2008,Mona,Cat,Domestic Shorthair,—,Black,—,Adult Cat,Transfer In,"A2116596, PFL-A-2917, HST-A-13741, HSTO-FC-23-2601",PetSmart Meeting,1,2023-12-09,2024-01-07,29,PetSmart
LDDC-A-2697,Storm,Dog,Terrier,Mix,White,Brindle,Adult Dog,Transfer In,"64737-1, FLRN-FD-23-2727, FLRN-A-5592",Foster Adopted,1,2023-12-30,2024-01-09,10,From Foster
LDDC-A-1934,Crouton,Cat,Domestic Shorthair,—,Tortoise,—,Adult Cat,Transfer In,"PPCA-A-8578, FRKN-FC-23-2318",Meo Maison Cat Cafe Adoption,1,2023-11-11,2024-01-10,60,Cat Café
LDDC-A-2686,Passion,Cat,Domestic Shorthair,—,Grey,White,Adult Cat,Transfer In,"64830, FLRN-FC-23-2731, FLRN-A-5667",Adoption from Foster,1,2023-12-30,2024-01-10,11,From Foster
LDDC-A-2743,Emcee Royale,Cat,Domestic Shorthair,—,Calico,—,Adult Cat,Transfer In,"PPCA-A-8510, FRKN-FC-24-0005",Meo Maison Cat Cafe Adoption,1,2024-01-06,2024-01-10,4,Cat Café
LDDC-A-2734,Mustache,Cat,Domestic Shorthair,—,Orange,White,Adult Cat,Transfer In,"VAPC-A-362, PPCA-A-8369, FRKN-MC-24-0010",Meo Maison Cat Cafe Adoption,1,2024-01-06,2024-01-10,4,Cat Café
LDDC-A-2672,Alf,Dog,Shepherd,Mix,Yellow,Black,Adult Dog,Transfer In,"64783-2, FLRN-MD-23-2671, FLRN-A-5703",Foster Adopted,1,2023-12-30,2024-01-10,11,From Foster
LDDC-A-1904,Cheese,Cat,Domestic Shorthair,—,Orange,—,Adult Cat,Transfer In,WISE-MC-23-2534,Meo Maison Cat Cafe Adoption,1,2023-12-01,2024-01-12,42,Cat Café
LDDC-A-2005,Lokie,Cat,Domestic Shorthair,—,Orange,White,Adult Cat,Transfer In,"A2116626, PFL-A-2894, HST-A-13743, HSTO-MC-23-2603",Meo Maison Cat Cafe Adoption,1,2023-12-09,2024-01-12,34,Cat Café
LDDC-A-2620,Molly,Cat,Domestic Shorthair,—,Tortoise,—,Adult Cat,Transfer In,"64666-4, FLRN-FC-23-2661, FLRN-A-5557",PetSmart In-Store Cat Adoption,1,2023-12-16,2024-01-12,27,PetSmart
LDDC-A-1970,Lizzo,Dog,Boxer,Pointer,Black,—,Adult Dog,Transfer In,"23187, FLRN-FD-23-2317, FLRN-A-5131",Adoption from Foster,1,2023-11-04,2024-01-12,69,From Foster
LDDC-A-2688,Sassy,Cat,Domestic Shorthair,—,Black,White,Adult Cat,Transfer In,"64340-2, FLRN-FC-23-2709, FLRN-A-5617",Adoption from Foster,1,2023-12-30,2024-01-12,13,From Foster
LDDC-A-1937,Dedy,Cat,Domestic Shorthair,—,Grey,White,Adult Cat,Transfer In,"A2113915, PFL-A-2884, HST-A-13723, HSTO-FC-23-2591",Meo Maison Cat Cafe Adoption,1,2023-12-09,2024-01-12,34,Cat Café
LDDC-A-2775,Rycard,Dog,Shepherd,Terrier,White,Tan,Adult Dog,Transfer In,"64198, FLRN-MD-24-0033, FLRN-A-5341",Off Transport Adoption (OTA),1,2024-01-13,2024-01-13,0,Off Transport
LDDC-A-2778,Tootles,Dog,Poodle,Mix,Black,White,Adult Dog,Transfer In,"64954, 2404, FLRN-FD-24-0080, FLRN-A-5831",Off Transport Adoption (OTA),1,2024-01-13,2024-01-13,0,Off Transport
LDDC-A-2776,Bentley,Dog,Maltese,Mix,Tan,White,Puppy,Transfer In,"23241, FLRN-MD-24-0027, FLRN-A-5760",Off Transport Adoption (OTA),1,2024-01-13,2024-01-13,0,Off Transport
LDDC-A-2779,Ash,Cat,Domestic Shorthair,—,Grey,—,Adult Cat,Transfer In,"2422, FLRN-FC-24-0039, FLRN-A-5870",Off Transport Adoption (OTA),1,2024-01-13,2024-01-13,0,Off Transport
LDDC-A-2769,Rooster,Dog,"Terrier, Boston",—,Black,White,Adult Dog,Transfer In,PVAS-A-182508,Off Transport Adoption (OTA),1,2024-01-12,2024-01-13,1,Off Transport
LDDC-A-2780,Athena,Cat,Domestic Shorthair,—,Orange,White,Adult Cat,Transfer In,"2421, FLRN-FC-24-0040, FLRN-A-5869",Off Transport Adoption (OTA),1,2024-01-13,2024-01-13,0,Off Transport
LDDC-A-2782,Joy,Cat,Domestic Shorthair,—,Black,White,Kitten,Transfer In,"116-2023, FLRN-FC-24-0030, FLRN-A-5742",Off Transport Adoption (OTA),1,2024-01-13,2024-01-13,0,Off Transport
LDDC-A-2783,Miny,Cat,Domestic Shorthair,—,Tortoise,—,Kitten,Transfer In,"2415, FLRN-FC-24-0093, FLRN-A-5863",Off Transport Adoption (OTA),1,2024-01-13,2024-01-13,0,Off Transport
LDDC-A-2781,Earl Gray,Cat,Domestic Shorthair,—,Grey,—,Kitten,Transfer In,"2437, FLRN-MC-24-0050, FLRN-A-5885",Off Transport Adoption (OTA),1,2024-01-13,2024-01-13,0,Off Transport
LDDC-A-2765,Ophelia,Cat,Domestic Longhair,—,Grey,White,Kitten,Transfer In,HERT-FC-24-0104,Off Transport Adoption (OTA),1,2024-01-13,2024-01-13,0,Off Transport
LDDC-A-2784,Chaos,Cat,Domestic Shorthair,—,Grey,White,Kitten,Transfer In,"FAHS-MC-24-0047, FLRN-A-5912",Off Transport Adoption (OTA),1,2024-01-13,2024-01-13,0,Off Transport
LDDC-A-4156,Gilda,Cat,Domestic Shorthair,—,Tortoise,—,Kitten,Transfer In,HERT-FC-24-0097,Off Transport Adoption (OTA),1,2024-01-13,2024-01-13,0,Off Transport
LDDC-A-2705,Lego,Dog,"Hound, Basset",Terrier,Brown,Black,Adult Dog,Transfer In,"64070-2, FLRN-MD-23-1745, FLRN-A-5544",Petco Adoption Event,1,2023-12-30,2024-01-13,14,Weekend Event
LDDC-A-2777,Susie,Dog,Bulldog,Mix,Tan,White,Puppy,Transfer In,"64888, FLRN-FD-24-0036, FLRN-A-5753",Off Transport Adoption (OTA),1,2024-01-13,2024-01-13,0,Off Transport
LDDC-A-2785,Aca,Dog,"Spaniel, Cocker",—,Black,—,Senior Dog,Owner Surrender,OWNR-MD-24-0133,Petco Adoption Event,1,2024-01-13,2024-01-13,0,Weekend Event
LDDC-A-1996,John,Cat,Domestic Shorthair,—,Brown,—,Kitten,Transfer In,"A2116422, PFL-A-2929, HST-A-13731, HSTO-FC-23-2594",Meo Maison Cat Cafe Adoption,1,2023-12-09,2024-01-13,35,Cat Café
LDDC-A-1889,Coffee,Dog,"Foxhound, American",Beagle,Tan,White,Adult Dog,Transfer In,PRCO-MD-23-2080,Petco Adoption Event,1,2023-09-29,2024-01-13,106,Weekend Event
LDDC-A-1951,Fido,Dog,"Retriever, Labrador",Mix,Chocolate,—,Adult Dog,Transfer In,"63507-2, FLRN-MD-23-2382, FLRN-A-4829",Petco Adoption Event,1,2023-11-04,2024-01-13,70,Weekend Event
LDDC-A-2673,Annabel,Cat,Domestic Shorthair,—,Orange,—,Adult Cat,Transfer In,"64666, FLRN-FC-23-2699, FLRN-A-5553",Foster Adopted,1,2023-12-30,2024-01-13,14,From Foster
LDDC-A-2652,Pikachu,Cat,Domestic Shorthair,—,Buff,—,Adult Cat,Transfer In,PPCA-A-8516,Adoption from Foster,1,2023-12-30,2024-01-13,14,From Foster
LDDC-A-1935,Curtis,Cat,Domestic Shorthair,—,Brown,—,Adult Cat,Transfer In,"PPCA-A-7985, FRKN-MC-23-2364",Adoption from Foster,1,2023-11-04,2024-01-13,70,From Foster
LDDC-A-2772,Arthur,Cat,Domestic Longhair,—,Black,White,Adult Cat,Transfer In,HERT-MC-24-0095,PetSmart In-Store Cat Adoption,1,2024-01-13,2024-01-13,0,PetSmart
LDDC-A-2011,Pumpkin,Cat,Domestic Shorthair,—,Tortoise,—,Adult Cat,Transfer In,"64200-9, FLRN-FC-23-2290, FLRN-A-5264",Adoption from Foster,1,2023-10-21,2024-01-13,84,From Foster
LDDC-A-2010,Pie,Cat,Domestic Shorthair,—,Tortoise,—,Adult Cat,Transfer In,"64200-10, FLRN-FC-23-2289, FLRN-A-5265",Adoption from Foster,1,2023-10-21,2024-01-13,84,From Foster
LDDC-A-4159,Greta,Cat,Domestic Shorthair,—,Tortoise,—,Kitten,Transfer In,HERT-FC-24-0098,Off Transport Adoption (OTA),1,2024-01-13,2024-01-13,0,Off Transport
LDDC-A-4158,Garbo,Cat,Domestic Shorthair,—,Tortoise,—,Kitten,Transfer In,HERT-FC-24-0096,Off Transport Adoption (OTA),1,2024-01-13,2024-01-13,0,Off Transport
LDDC-A-1990,LOL,Cat,Domestic Shorthair,—,Brown,Brown,Adult Cat,Transfer In,"PPCA-A-7729, FRKN-MC-23-2213",Meo Maison Cat Cafe Adoption,1,2023-10-14,2024-01-13,91,Cat Café
LDDC-A-1993,Kenneth,Cat,Domestic Shorthair,—,Black,White,Adult Cat,Transfer In,"PPCA-A-8749, FRKN-MC-23-2477",Meo Maison Cat Cafe Adoption,1,2023-11-25,2024-01-14,50,Cat Café
LDDC-A-1927,Bill,Cat,Domestic Shorthair,—,Black,White,Adult Cat,Transfer In,"PPCA-A-8748, FRKN-MC-23-2475",Meo Maison Cat Cafe Adoption,1,2023-11-25,2024-01-14,50,Cat Café
LDDC-A-2816,Canola,Cat,Domestic Shorthair,—,Black,—,Adult Cat,Transfer In,"4033, FAHS-MC-24-0046, FLRN-A-5795",PetSmart In-Store Cat Adoption,1,2024-01-13,2024-01-14,1,PetSmart
LDDC-A-2758,Sparkler,Dog,Maltese,—,Tan,Cream,Puppy,Owner Surrender,"OTHR-MD-24-0123, OTHR-MD-24-0123",PetSmart Adoption Event,1,2023-11-19,2024-01-14,56,Weekend Event
LDDC-A-2767,Osa,Cat,Domestic Longhair,—,Black,White,Kitten,Transfer In,HERT-FC-24-0105,PetSmart Adoption Event,1,2024-01-13,2024-01-14,1,Weekend Event
LDDC-A-2759,Starshine,Dog,Maltese,—,Cream,—,Puppy,Owner Surrender,"OTHR-FD-24-0124, OTHR-FD-24-0124",PetSmart Adoption Event,1,2023-11-19,2024-01-14,56,Weekend Event
LDDC-A-2761,Sugar,Dog,Maltese,—,Chocolate,—,Puppy,Owner Surrender,OTHR-FD-24-0126,PetSmart Adoption Event,1,2023-11-18,2024-01-14,57,Weekend Event
LDDC-A-2756,Silver,Dog,Maltese,—,Yellow,Tan,Puppy,Owner Surrender,"OTHR-FD-24-0121, OTHR-FD-24-0121",PetSmart Adoption Event,1,2023-11-19,2024-01-14,56,Weekend Event
LDDC-A-2757,Skylar,Dog,Maltese,—,Black,—,Puppy,Owner Surrender,"OTHR-FD-24-0122, OTHR-FD-24-0122",PetSmart Adoption Event,1,2023-11-19,2024-01-14,56,Weekend Event
LDDC-A-2810,Margaret,Cat,Domestic Shorthair,—,Brown,White,Kitten,Transfer In,"23244-2, FLRN-FC-24-0042, FLRN-A-5770",PetSmart Adoption Event,1,2024-01-13,2024-01-14,1,Weekend Event
LDDC-A-2766,Opal,Cat,Domestic Longhair,—,Black,White,Kitten,Transfer In,HERT-FC-24-0103,PetSmart Adoption Event,1,2024-01-13,2024-01-14,1,Weekend Event
LDDC-A-2834,Kyp,Cat,Domestic Shorthair,—,Black,White,Kitten,Transfer In,HERT-MC-24-0102,PetSmart Adoption Event,1,2024-01-13,2024-01-14,1,Weekend Event
LDDC-A-2831,Kazz,Cat,Domestic Shorthair,—,Black,—,Kitten,Transfer In,HERT-MC-24-0101,PetSmart Adoption Event,1,2024-01-13,2024-01-14,1,Weekend Event
